breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Affenpinscher,"With a look that has earned them monikers like ""monkey dogs"" and ""ape terriers,"" the Affenpinscher’s distinctive appearance is undeniable. The French famously call them *diablotin moustachu* (""mustached little devil""), while Star Wars fans debate if they resemble Wookies or Ewoks.

Standing less than a foot tall, these sturdy, terrier-like dogs approach life with a confidence far exceeding their compact size. Their unique temperament is often likened to that of a human. As one professional dog handler observed, ""This isn't a breed you train; he's like a human. You befriend him."" While they can exhibit a willful or even domineering streak, Affens are primarily known for being fiercely loyal, deeply affectionate, and endlessly entertaining companions.

Their dense, harsh coat, often described as ""neat but shaggy,"" comes in various colors, complementing their light, confident gait. It's the Affenpinscher's fearless curiosity and surprisingly serious demeanor that makes their often-hilarious antics all the more amusing, cementing their reputation as natural comedians. Affen owners frequently declare their delight in being ""owned"" by these captivating, almost-human toy dogs.","Confident, Famously Funny, Fearless",148,22.86,29.21,3.18,4.54,12,15,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,1,Outgoing
Afghan Hound,"**Afghan Hound: An Aristocrat of Ancient Lineage**

The Afghan Hound is an ancient breed that embodies an extraordinary blend of dignity, grace, and athletic prowess. His striking appearance, characterized by a long, silky, flowing coat and an aristocratic bearing, is far more than just beauty. This luxuriant mane served a vital purpose in its mountainous homeland, providing essential protection against harsh climates. Beneath this glamorous exterior lies a powerful, agile hound, standing up to 27 inches tall, built for the rigors of a long day's hunt. Their large paw-pads are natural shock absorbers, perfectly adapted for navigating punishing terrain.

With eyes that seem to gaze into ages past, the Afghan projects an aura of aloofness and independence. Yet, to those he calls his own, he is profoundly devoted and loyal, revealing a sensitive nature and a charming, lively personality. This intelligent hound forms deep bonds, offering absolute love to his chosen family.

As a true athlete, the Afghan Hound possesses immense speed and requires significant daily exercise, ideally in a large, securely fenced yard. This unique combination of regal beauty, independent spirit, and profound loyalty makes the Afghan Hound a special breed for special people. While not suited for every household, for the right owner, an Afghan can be an unparalleled companion, a dignified aristocrat whose devotion knows no bounds.","Dignified, Profoundly Loyal, Aristocratic",113,63.5,68.58,22.68,27.22,12,15,Hound Group,0.8,Daily Brushing,0.2,Infrequent,0.8,Energetic,0.2,May be Stubborn,0.2,Aloof/Wary
Airedale Terrier,"The Airedale Terrier proudly holds the title of the ""King of Terriers,"" not just for his imposing size but also his versatile capabilities and distinct personality. As the largest of all terrier breeds, males typically stand around 23 inches at the shoulder, with females slightly smaller. Their dense, wiry coat features a classic tan body with black markings, giving them a rugged yet refined appearance.

Physically, the Airedale possesses a regal bearing, thanks to his long, muscular legs and a distinctive long head adorned with a sporty beard and mustache. Dark, intelligent eyes and neatly folded ears complete a picture of alertness and keen awareness.

True to their terrier lineage, Airedales are bold, determined, and can exhibit a charmingly stubborn streak. Yet, beneath their tenacious exterior lies a surprisingly docile and patient nature, especially with children. This makes them excellent family protectors who will stand firm when guarding their home. Their ""do-it-all"" attitude allows them to excel in a wide array of activities, from competitive sports to active family outings. Indeed, the Airedale's impressive size, strength, and unflagging spirit have cemented his reputation as one of the world's most versatile dog breeds, distinguishing himself as a skilled hunter, formidable athlete, and loyal companion.","Friendly, Clever, Courageous",60,58.42,58.42,22.68,31.75,11,14,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,1,Eager to Please,0.8,Friendly
Akita,"**Akita: Dignified Guardian from Ancient Japan**

The majestic Akita is a muscular, double-coated spitz-type dog of ancient Japanese lineage, revered in its native land as a living symbol of good health, happiness, and long life. Known for their profound dignity, unwavering courage, and fierce loyalty, Akitas are truly formidable and dedicated companions.

Standing an impressive 24 to 28 inches at the shoulder, the Akita boasts a burly, heavy-boned build. Their imposing stature is matched by a dense, plush coat, which comes in a variety of colors, including striking white. Distinctive features include a broad, massive head, erect ears, and dark, shining eyes that convey an expression of keen alertness. A full, curled-over tail perfectly balances their powerful rear.

Beneath their stoic exterior, Akitas are remarkably quiet and fastidious dogs. While often wary of strangers and potentially intolerant of other animals, they reserve a deeply silly and affectionate side for their cherished family and friends. These independent-thinking dogs are hardwired for protecting those they love, making early and consistent socialization with people and other dogs absolutely essential. Akitas thrive on human companionship, forming an unbreakable bond with their devoted families. Owning an Akita means embracing a truly unique and loyal guardian.","Courageous, Dignified, Profoundly Loyal",47,60.96,71.12,31.75,58.97,10,13,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,1,Eager to Please,0.6,Alert/Responsive
Alaskan Malamute,"The Alaskan Malamute, an imposing Spitz-type dog, immediately conveys its heritage as a powerful arctic sled dog. Standing 23 to 25 inches at the shoulder and weighing 75 to 85 pounds, their substantial bone, deep chest, powerful shoulders, and dense, weatherproof double coat are perfectly engineered for hauling heavy loads across frozen landscapes. These formidable traits unmistakably declare, ""I work hard for a living!""

Yet, beneath this rugged exterior lies a heart full of affection. Those intelligent, almond-shaped brown eyes hold an unmistakable sparkle, hinting at their joy in snuggling and bonding with their human pack after a day's ""work."" Mals are inherently pack animals, and within your family, *you* must firmly establish yourself as the respected leader. Without consistent, loving, and firm training from early puppyhood, a Malamute will quickly assume the alpha role, leading to a challenging dynamic.

However, a properly socialized and well-trained Mal transforms into an absolute delight: playful, gentle, friendly, and wonderfully patient with children. Loyal and dignified, their signature well-furred plumed tail carried over their back and alert erect ears complete the picture of this magnificent, heavy-duty companion.","Affectionate, Loyal, Playful",58,58.42,63.5,34.02,38.56,10,14,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
American Bulldog,"The American Bulldog, a powerful and versatile canine, boasts a rich heritage directly linked to the English Bulldogs that arrived in America with immigrants as early as the 17th and 18th centuries. These early bulldogs were far more than just pets; they were indispensable working partners for small farmers and ranchers, especially throughout the American South. Their roles were diverse, ranging from vigilant farm guardians and efficient stock dogs to courageous ""catch dogs"" capable of controlling and bringing down dangerous feral pigs. This crucial ability to manage wild hog populations was paramount to the breed's prevalence and survival in the region.

For generations, these dogs were simply known as ""bulldogs,"" or occasionally ""White English Southern Bulldogs."" Their moniker wasn't a description of their looks, but a proud testament to their unwavering dedication to performing ""real bulldog work""—showcasing their immense power and tenacity.

Today, the American Bulldog stands as a testament to this rugged past. They are impressive, well-balanced athletes demonstrating remarkable strength, endurance, and agility. Yet, beneath their formidable exterior lies a friendly and devoted disposition. Historically bred as a utility dog for the farm, the modern American Bulldog embodies the perfect blend of a capable working dog and a loyal family companion, revered for both its physical prowess and amiable nature.","Loyal, Self-Confident",,50.8,63.5,27.22,45.36,10,12,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
American English Coonhound,"The American English Coonhound is a striking athlete, standing up to 26 inches tall with a deep chest and a sleek, muscular frame built for endurance. Their medium-length coat comes in various patterns, often featuring distinctive ticking. Characterized by a broad head, domed skull, soft low-hung ears, and warm, dark-brown eyes, they possess a sweet yet determined expression.

Off-duty, these hounds are surprisingly mellow and affectionate, but when the hunt begins, their true nature emerges. Renowned for their incredible speed and stamina, American English Coonhounds become tenacious and stubborn in pursuit of their quarry, particularly the wily raccoon. Their distinctive, loud, ringing bark, often called ""night music,"" is a hallmark of their intense work drive as they tear through moonlit woods, all sinew and determination, from dusk till dawn.

Despite their gentle home demeanor, the American English Coonhound is not suited for every household. Their profound work ethic, high energy levels, and powerful vocalizations can be overwhelming for novice owners. Training requires patience, as their instincts are primarily geared towards hunting. Many breed enthusiasts believe that without a consistent sporting outlet to channel their houndy virtues, these exceptional dogs are simply not living their fullest potential. For the right owner who understands and embraces their unique needs, the American English Coonhound is an unparalleled companion.","Sweet, Mellow, Sociable",175,58.42,66.04,20.41,29.48,11,12,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
American Eskimo Dog,"The American Eskimo Dog, affectionately known as the ""Eskie,"" is a true ""brains-and-beauty"" package, offering dazzling looks combined with a keen intellect. This versatile companion comes in three distinct sizes – Standard (up to 19 inches at the shoulder), Miniature, and Toy (as short as 9 inches), making it adaptable to various living situations.

Recognizable by their dense, sparkling white coat, Eskies often sport a magnificent lion-like ruff around their chest and shoulders. Their expressive, often described as ""smiling,"" face is highlighted by alert, intelligent eyes and black nose, lips, and eye-rims. A proudly plumed tail curls gracefully over their back, completing their elegant silhouette. While predominantly white, some Eskies may carry charming ""biscuit cream"" markings. They move with an athletic, bold, and agile gait, reflecting their lively spirit.

Beyond their captivating appearance, Eskies are renowned for their exceptional intelligence and eagerness to please. Highly trainable, they are among the most capable breeds, excelling in obedience and various dog sports. As deeply social animals, Eskies thrive on being integral members of their human family; they insist on being involved and can develop problematic behaviors if neglected or undertrained. Naturally alert and friendly, they make wonderful companions, especially good with children, though they might initially display a polite reserve with strangers before quickly warming up. Neither shy nor aggressive, the American Eskimo Dog is a loyal, clever, and truly engaging companion.","Playful, Perky, Smart",122,22.86,48.26,2.72,15.88,13,15,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1,Eager to Please,1,Outgoing
American Foxhound,"The American Foxhound is a quintessential American breed, steeped in history and closely associated with Revolutionary heroes and the rolling estates of old Virginia. These sleek, rangy hounds are quintessential hunters, renowned for their incredible speed, endurance, and unwavering work ethic.

You can distinguish them from their British cousin, the English Foxhound, by their longer, more finely boned legs and a subtly arched loin. Their large, soft eyes often convey a gentle, pleading expression that is undeniably charming.

While good-natured and generally low-maintenance in terms of grooming, American Foxhounds come with specific considerations for prospective owners. They possess an immense amount of energy and a single-minded prey drive that requires consistent management. Without ample exercise, these intelligent hounds can become bored, destructive, or even depressed. Their characteristic ""bawling"" bark, while melodious to hound enthusiasts, can be a significant nuisance to neighbors. Furthermore, their independent spirit means that training and housebreaking can be a challenging endeavor, especially for first-time dog owners.

However, for those prepared to meet their needs, American Foxhounds are affectionate companions who typically get along well with children, other dogs, and even cats, making them a unique and rewarding addition to the right active family.","Independent, Easy-Going, Sweet-Tempered",186,53.34,63.5,27.22,31.75,11,13,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
American Hairless Terrier,"**American Hairless Terrier: A Versatile Southern Charmer**

Hailing from the bayous of Louisiana, the American Hairless Terrier (AHT) is a truly unique and captivating breed, celebrated for its spirited personality and two distinct varieties: hairless and coated. Standing a compact 12 to 16 inches at the shoulder, this agile terrier boasts a jaunty pep in its step, embodying the quintessential terrier attitude.

Both varieties share hallmark physical traits: a broad, wedge-shaped head, framing expressive, round eyes that sparkle with intelligence and curiosity. Their V-shaped ears stand erect, adding to their alert demeanor. The hairless AHT is easily identified by its smooth, warm-to-the-touch skin, often adorned with charming eyebrows and whiskers. While not entirely dander-free, the hairless variety is considered one of the best choices for allergy sufferers. However, their unique skin requires sun protection and extra warmth in cold climates.

The coated AHT, equally delightful, sports a short, shiny coat that is remarkably low-maintenance. Regardless of their fur (or lack thereof), AHTs are smart, inquisitive, and playful companions. They are known for being protective of their families, making them excellent, alert watchdogs without being overly aggressive.

With genuine terrier grit and courage, combined with an affectionate nature, the American Hairless Terrier makes a wonderful addition to active families. Whether you prefer the unique hairless form or the sleek coated version, you'll find an intelligent, courageous, and endlessly entertaining friend.","Energetic, Alert, Curious",136,30.48,40.64,5.44,7.26,14,16,Terrier Group,,,,,,,,,,
