"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","AJB7ye","AJB7ye 2","doJOZc","W4Efsd 6","A1zNzb href","J8zHNe","ah5Ghc 4","ah5Ghc 5"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/HyperDrive/data=!4m7!3m6!1s0x31da1d39cc92c209:0x454804c5f857f454!8m2!3d1.250671!4d103.819427!16s%2Fg%2F11svjs2s13!19sChIJCcKSzDkd2jERVPRX-MUESEU?authuser=0&hl=en&rclk=1","HyperDrive","3.9","(530)","Go-Cart Track","·","54 Palawan Beach Walk","Closed","⋅ Opens 12:30 pm Wed","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Tanuki+Raw+at+Cross+Street+Exchange/data=!4m7!3m6!1s0x31da19bc6ee06535:0x1f1a7f15d32bdd03!8m2!3d1.283675!4d103.847449!16s%2Fg%2F11s8kt355w!19sChIJNWXgbrwZ2jERA90r0xV_Gh8?authuser=0&hl=en&rclk=1","Tanuki Raw at Cross Street Exchange","4.1","(113)","Japanese restaurant","·","181 South Bridge Road","Closes soon","⋅ 10 pm ⋅ Opens 11:30 am Wed","https://lh3.googleusercontent.com/p/AF1QipN0Qr6wl83jAcGwJBkkj781GivpHx3etJCU2iaI=w90-h104-p-k-no","https://ssl.gstatic.com/images/icons/material/system_gm/2x/done_gm_green700_24dp.png","Dine-in","Takeaway","Delivery","","","","","","","",""
"https://www.google.com/maps/place/The+Urban+Hideout/data=!4m7!3m6!1s0x31da1320c64617a5:0x8fdd0fd2ae126a5d!8m2!3d1.4050527!4d103.8196189!16s%2Fg%2F11ng55mlmz!19sChIJpRdGxiAT2jERXWoSrtIP3Y8?authuser=0&hl=en&rclk=1","The Urban Hideout","4.5","(371)","Cafe","·","·","60 Springside Walk, #01-05 The Brooks I","Closed","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqqo-A6Dcqz6IieEf-jo1vrV_D7Wmb6ENv3-yM-xZgnFPgyyNFgsO_fLA8IDe726iPIqDtYenJll8SsK79X_wTdpVGiMhhbE5DE2MOj74dByxBJkc_q0Ho-hSe6zZSZCAj95QIkBg=w80-h106-k-no","","Dine-in","Takeaway","Delivery","·","$20–30","","⋅ Opens 12 pm Wed","https://www.google.com/maps/reserve/v/dine/c/3-7Rgb2PyJ0?source=pa&opi=79508299&hl=en-MY&gei=AA8aaOCNJYqZ4-EPup7gyAM&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dmy%26pb%3D!4m12!1m3!1d64824.982750165604!2d101.75555871527452!3d3.062071495034847!2m3!1f0!2f0!3f0!3m2!1i1707!2i781!4f13.1!7i20!10b1!12m25!1m5!18b1!30b1!31m1!1b1!34e1!2m3!5m1!6e2!20e3!4b0!10b1!12b1!13b1!16b1!17m1!3e1!20m4!5e2!6b1!8b1!14b1!46m1!1b0!96b1!19m4!2m3!1i360!2i120!4i8!20m48!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!22m6!1s5w4aaLDeItqc4-EPnKTomQk:4!2s1i:0,t:11886,p:5w4aaLDeItqc4-EPnKTomQk:4!7e81!12e5!17s5w4aaLDeItqc4-EPnKTomQk:136!18e15!24m107!1m32!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m21!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!17b1!20b1!21b1!22b1!25b1!27m1!1b0!28b0!32b1!33m1!1b1!34b0!36e1!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_review_posts__and__hotel_and_vr_partner_review_posts!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!125b0!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i781!1m6!1m2!1i1657!2i0!2m2!1i1707!2i781!1m6!1m2!1i0!2i0!2m2!1i1707!2i20!1m6!1m2!1i0!2i761!2m2!1i1707!2i781!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!47m0!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m4!2e2!3m2!1b1!3b1!67m3!7b1!10b1!14b1!69i732%26q%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26oq%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26gs_l%3Dmaps.3..38i72k1.10197.12570.2.12900.17.17.....99.959.13.13.....0....1..maps..4.13.1024.0..38i39i128k1j38i426k1j38i377i430i426k1.%26ech%3D2%26psi%3D5w4aaLDeItqc4-EPnKTomQk.1746538216970.1","Reserve a table","",""
"https://www.google.com/maps/place/Wildseed+Caf%C3%A9+at+The+Summerhouse/data=!4m7!3m6!1s0x31da15d32bc77b95:0x85c38a46286afa0d!8m2!3d1.4079885!4d103.8683067!16s%2Fg%2F11c30tf310!19sChIJlXvHK9MV2jERDfpqKEaKw4U?authuser=0&hl=en&rclk=1","Wildseed Café at The Summerhouse","4.3","(3,546)","Cafe","·","·","3 Park Ln, Level 1A Seletar Aerospace Drive","Open","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nonYd_MWqt67bHpC5sQoI2XWPLejossUO5ZeX_Xr4imnP1LlIkheuaBr_ABrhvAeD0YbL_tO0jqs9NsM9sz0L9m9FoIxs2dH8kebjzmBS543UwkLfgbi8fKmvVYpCmPgvqQZD35CA=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cosy place that’s","pet-friendly","with great food and","·","$20–40","","⋅ Closes 11 pm","https://www.google.com/maps/reserve/v/dine/c/SXyeRuBxdX4?source=pa&opi=79508299&hl=en-MY&gei=AA8aaOCNJYqZ4-EPup7gyAM&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dmy%26pb%3D!4m12!1m3!1d64824.982750165604!2d101.75555871527452!3d3.062071495034847!2m3!1f0!2f0!3f0!3m2!1i1707!2i781!4f13.1!7i20!10b1!12m25!1m5!18b1!30b1!31m1!1b1!34e1!2m3!5m1!6e2!20e3!4b0!10b1!12b1!13b1!16b1!17m1!3e1!20m4!5e2!6b1!8b1!14b1!46m1!1b0!96b1!19m4!2m3!1i360!2i120!4i8!20m48!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!22m6!1s5w4aaLDeItqc4-EPnKTomQk:4!2s1i:0,t:11886,p:5w4aaLDeItqc4-EPnKTomQk:4!7e81!12e5!17s5w4aaLDeItqc4-EPnKTomQk:136!18e15!24m107!1m32!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m21!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!17b1!20b1!21b1!22b1!25b1!27m1!1b0!28b0!32b1!33m1!1b1!34b0!36e1!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_review_posts__and__hotel_and_vr_partner_review_posts!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!125b0!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i781!1m6!1m2!1i1657!2i0!2m2!1i1707!2i781!1m6!1m2!1i0!2i0!2m2!1i1707!2i20!1m6!1m2!1i0!2i761!2m2!1i1707!2i781!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!47m0!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m4!2e2!3m2!1b1!3b1!67m3!7b1!10b1!14b1!69i732%26q%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26oq%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26gs_l%3Dmaps.3..38i72k1.10197.12570.2.12900.17.17.....99.959.13.13.....0....1..maps..4.13.1024.0..38i39i128k1j38i426k1j38i377i430i426k1.%26ech%3D2%26psi%3D5w4aaLDeItqc4-EPnKTomQk.1746538216970.1","Reserve a table","friendly","service staff."""
"https://www.google.com/maps/place/Venusology+Cafe/data=!4m7!3m6!1s0x31da1b1d2810e869:0xac35393f8c500fd8!8m2!3d1.2983063!4d103.8156806!16s%2Fg%2F11shs787ky!19sChIJaegQKB0b2jER2A9QjD85Naw?authuser=0&hl=en&rclk=1","Venusology Cafe","4.6","(219)","Dog cafe","·","The Guild international College, 318A Tanglin Road, Phoenix Park","","Closed","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqdftTYYE6EfZC5OKn3kjiVYvIaaLKWwBLnSfc-5OlQewzslG9Xh7xsMUvTsazHoOMCsWoTPN2iAQ7z25NF6YQPU6kkf_CJXm9J2ycZIMW4ZFtqJwJKQPh5EvtO583CwBzt12n6=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""A beautifully aesthetic and spacious dog café with a warm, welcoming vibe!""","","","","","","⋅ Opens 9 am Wed","","","",""
"https://www.google.com/maps/place/Sun+Ray+Cafe/data=!4m7!3m6!1s0x31da17aadc5ac27b:0x8bb9b0526b124628!8m2!3d1.3631682!4d103.8713049!16s%2Fg%2F12lk4mbp4!19sChIJe8Ja3KoX2jERKEYSa1KwuYs?authuser=0&hl=en&rclk=1","Sun Ray Cafe","4.2","(1,259)","Cafe","·","·","79 Brighton Cres","Closed","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEyMo5twTxcgS8IKYRAlfT2KZDkJHgHea8wYhpnL1qBTVbHdl-Y_kWXpQ-v7ZdzMN8mVBf7A3py7Pc9sw7kDx-_jxY7zLLYUt0aYbZ0kXQVGIIxXthDM0PJW7JdMNpM5Kg-4-J=w94-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Cosy all day","cafe","that gives good food and is","·","$20–30","","⋅ Opens 9 am Wed","https://www.google.com/maps/reserve/v/dine/c/07QIkH6rKpU?source=pa&opi=79508299&hl=en-MY&gei=AA8aaOCNJYqZ4-EPup7gyAM&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dmy%26pb%3D!4m12!1m3!1d64824.982750165604!2d101.75555871527452!3d3.062071495034847!2m3!1f0!2f0!3f0!3m2!1i1707!2i781!4f13.1!7i20!10b1!12m25!1m5!18b1!30b1!31m1!1b1!34e1!2m3!5m1!6e2!20e3!4b0!10b1!12b1!13b1!16b1!17m1!3e1!20m4!5e2!6b1!8b1!14b1!46m1!1b0!96b1!19m4!2m3!1i360!2i120!4i8!20m48!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!22m6!1s5w4aaLDeItqc4-EPnKTomQk:4!2s1i:0,t:11886,p:5w4aaLDeItqc4-EPnKTomQk:4!7e81!12e5!17s5w4aaLDeItqc4-EPnKTomQk:136!18e15!24m107!1m32!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m21!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!17b1!20b1!21b1!22b1!25b1!27m1!1b0!28b0!32b1!33m1!1b1!34b0!36e1!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_review_posts__and__hotel_and_vr_partner_review_posts!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!125b0!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i781!1m6!1m2!1i1657!2i0!2m2!1i1707!2i781!1m6!1m2!1i0!2i0!2m2!1i1707!2i20!1m6!1m2!1i0!2i761!2m2!1i1707!2i781!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!47m0!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m4!2e2!3m2!1b1!3b1!67m3!7b1!10b1!14b1!69i732%26q%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26oq%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26gs_l%3Dmaps.3..38i72k1.10197.12570.2.12900.17.17.....99.959.13.13.....0....1..maps..4.13.1024.0..38i39i128k1j38i426k1j38i377i430i426k1.%26ech%3D2%26psi%3D5w4aaLDeItqc4-EPnKTomQk.1746538216970.1","Reserve a table","pet friendly","."""
"https://www.google.com/maps/place/Wildseed+Caf%C3%A9+at+The+Alkaff+Mansion/data=!4m7!3m6!1s0x31da1b0cdb8db95f:0xfee619212ee7c98!8m2!3d1.278877!4d103.813289!16s%2Fg%2F11h0_l04l9!19sChIJX7mN2wwb2jERmHzuEpJh7g8?authuser=0&hl=en&rclk=1","Wildseed Café at The Alkaff Mansion","4.5","(2,934)","Cafe","·","·","10 Telok Blangah Green","Closed","https://lh3.googleusercontent.com/p/AF1QipMoEH0pm_S-HTHJ0deFBfZ5hQg5YAbKnPIFcGdU=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very","dog friendly",", lovely ambience, staff are very","·","$20–40","","⋅ Opens 8 am Wed","https://www.google.com/maps/reserve/v/dine/c/aL84bhrZrN4?source=pa&opi=79508299&hl=en-MY&gei=AA8aaOCNJYqZ4-EPup7gyAM&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dmy%26pb%3D!4m12!1m3!1d64824.982750165604!2d101.75555871527452!3d3.062071495034847!2m3!1f0!2f0!3f0!3m2!1i1707!2i781!4f13.1!7i20!10b1!12m25!1m5!18b1!30b1!31m1!1b1!34e1!2m3!5m1!6e2!20e3!4b0!10b1!12b1!13b1!16b1!17m1!3e1!20m4!5e2!6b1!8b1!14b1!46m1!1b0!96b1!19m4!2m3!1i360!2i120!4i8!20m48!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!22m6!1s5w4aaLDeItqc4-EPnKTomQk:4!2s1i:0,t:11886,p:5w4aaLDeItqc4-EPnKTomQk:4!7e81!12e5!17s5w4aaLDeItqc4-EPnKTomQk:136!18e15!24m107!1m32!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m21!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!17b1!20b1!21b1!22b1!25b1!27m1!1b0!28b0!32b1!33m1!1b1!34b0!36e1!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_review_posts__and__hotel_and_vr_partner_review_posts!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!125b0!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i781!1m6!1m2!1i1657!2i0!2m2!1i1707!2i781!1m6!1m2!1i0!2i0!2m2!1i1707!2i20!1m6!1m2!1i0!2i761!2m2!1i1707!2i781!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!47m0!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m4!2e2!3m2!1b1!3b1!67m3!7b1!10b1!14b1!69i732%26q%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26oq%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26gs_l%3Dmaps.3..38i72k1.10197.12570.2.12900.17.17.....99.959.13.13.....0....1..maps..4.13.1024.0..38i39i128k1j38i426k1j38i377i430i426k1.%26ech%3D2%26psi%3D5w4aaLDeItqc4-EPnKTomQk.1746538216970.1","Reserve a table","dog","loving"""
"https://www.google.com/maps/place/Seng+House+%E2%80%94+Hainanese-Western+Caf%C3%A9+in+Tanjong+Katong/data=!4m7!3m6!1s0x31da193538b325cd:0xed793c8022df6e66!8m2!3d1.3073246!4d103.8952713!16s%2Fg%2F11tmjc2x31!19sChIJzSWzODUZ2jERZm7fIoA8ee0?authuser=0&hl=en&rclk=1","Seng House — Hainanese-Western Café in Tanjong Katong","4.4","(631)","Cafe","·","·","214 Tanjong Katong Rd","Closes soon","https://lh3.googleusercontent.com/p/AF1QipPszb7Dsdw7V_lawqAYzuoScBDQL2UW2aGR_Umr=w120-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It's a new","pet friendly cafe","with great atmosphere!""","·","$20–30","","⋅ 10:30 pm ⋅ Opens 8 am Wed","https://www.google.com/maps/reserve/v/dine/c/muytmLA9Zi4?source=pa&opi=79508299&hl=en-MY&gei=AA8aaOCNJYqZ4-EPup7gyAM&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dmy%26pb%3D!4m12!1m3!1d64824.982750165604!2d101.75555871527452!3d3.062071495034847!2m3!1f0!2f0!3f0!3m2!1i1707!2i781!4f13.1!7i20!10b1!12m25!1m5!18b1!30b1!31m1!1b1!34e1!2m3!5m1!6e2!20e3!4b0!10b1!12b1!13b1!16b1!17m1!3e1!20m4!5e2!6b1!8b1!14b1!46m1!1b0!96b1!19m4!2m3!1i360!2i120!4i8!20m48!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!22m6!1s5w4aaLDeItqc4-EPnKTomQk:4!2s1i:0,t:11886,p:5w4aaLDeItqc4-EPnKTomQk:4!7e81!12e5!17s5w4aaLDeItqc4-EPnKTomQk:136!18e15!24m107!1m32!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m21!3b1!4b1!5b1!6b1!9b1!12b1!13b1!14b1!17b1!20b1!21b1!22b1!25b1!27m1!1b0!28b0!32b1!33m1!1b1!34b0!36e1!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_review_posts__and__hotel_and_vr_partner_review_posts!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!125b0!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i781!1m6!1m2!1i1657!2i0!2m2!1i1707!2i781!1m6!1m2!1i0!2i0!2m2!1i1707!2i20!1m6!1m2!1i0!2i761!2m2!1i1707!2i781!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!47m0!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m4!2e2!3m2!1b1!3b1!67m3!7b1!10b1!14b1!69i732%26q%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26oq%3Ddog%2Bfriendly%2Bcafe%2Bsingapore%26gs_l%3Dmaps.3..38i72k1.10197.12570.2.12900.17.17.....99.959.13.13.....0....1..maps..4.13.1024.0..38i39i128k1j38i426k1j38i377i430i426k1.%26ech%3D2%26psi%3D5w4aaLDeItqc4-EPnKTomQk.1746538216970.1","Reserve a table","",""
