Breed Name,Image Filename,Source,Attribution,License,URL
Affenpinscher,affenpinscher.jpg,Pixabay,Unknown,Pixabay License,
Afghan Hound,Afghan_Hound.jpg,Pixabay,Unknown,Pixabay License,
Airedale Terrier,Airedale_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Akita,akita.jpg,Pixabay,Unknown,Pixabay License,
Alaskan Malamute,Alaskan_Malamute.jpg,Pixabay,Unknown,Pixabay License,
American Bulldog,American_Bulldog.jpg,Pixabay,Unknown,Pixabay License,
American English Coonhound,American_English_Coonhound.jpg,Pixabay,Unknown,Pixabay License,
American Eskimo Dog,American_Eskimo_Dog.jpg,Pixabay,Unknown,Pixabay License,
American Foxhound,American_Foxhound.jpg,Pixabay,Unknown,Pixabay License,
American Hairless Terrier,American_Hairless_Terrier.jpg,Pexels,Unknown,Pexels License,
American Leopard Hound,American_Leopard_Hound.jpg,Wikipedia,Unknown,Creative Commons,
American Staffordshire Terrier,American_Staffordshire_Terrier.jpg,Pixabay,Unknown,Pixabay License,
American Water Spaniel,American_Water_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Anatolian Shepherd Dog,Anatolian_Shepherd_Dog.jpg,Pixabay,Unknown,Pixabay License,
Appenzeller Sennenhund,Appenzeller_Sennenhund.jpg,Pixabay,Unknown,Pixabay License,
Australian Terrier,Australian Terrier.jpg,Pixabay,Unknown,Pixabay License,
Australian Cattle Dog,Australian_Cattle_Dog.jpg,Pixabay,Unknown,Pixabay License,
Australian Kelpie,Australian_Kelpie.jpg,Pixabay,Unknown,Pixabay License,
Australian Shepherd,Australian_Shepherd.jpg,Pixabay,Unknown,Pixabay License,
Australian Stumpy Tail Cattle Dog,Australian_Stumpy_Tail_Cattle_Dog.jpg,Pixabay,Unknown,Pixabay License,
Azawakh,Azawakh.jpg,Pixabay,Unknown,Pixabay License,
Barbet,Barbet.jpg,Pixabay,Unknown,Pixabay License,
Basenji,basenji.jpg,Pixabay,Unknown,Pixabay License,
Basset Fauve de Bretagne,Basset_Fauve_de_Bretagne.jpg,Pixabay,Unknown,Pixabay License,
Basset Hound,Basset_Hound.jpg,Pixabay,Unknown,Pixabay License,
Bavarian Mountain Scent Hound,Bavarian_Mountain_Scent_Hound.jpg,Pexels,Unknown,Pexels License,
Beagle,beagle.jpg,Pixabay,Unknown,Pixabay License,
Beagle,evy-prentice--xFcBvbwLAU-unsplash_beagle.jpg,Unsplash,Evy Prentice,Unsplash License,https://unsplash.com/photos/-xFcBvbwLAU
Bearded Collie,Bearded_Collie.jpg,Pixabay,Unknown,Pixabay License,
Beauceron,Beauceron.jpg,Pixabay,Unknown,Pixabay License,
Bedlington Terrier,Bedlington_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Belgian Laekenois,Belgian_Laekenois.jpg,Pixabay,Unknown,Pixabay License,
Belgian Malinois,Belgian_Malinois.jpg,Pixabay,Unknown,Pixabay License,
Belgian Sheepdog,Belgian_Sheepdog.jpg,Pixabay,Unknown,Pixabay License,
Belgian Tervuren,Belgian_Tervuren.jpg,Pixabay,Unknown,Pixabay License,
Bergamasco Sheepdog,Bergamasco_Sheepdog.jpg,Pixabay,Unknown,Pixabay License,
Berger Picard,Berger_Picard.jpg,Pixabay,Unknown,Pixabay License,
Bernese Mountain Dog,Bernese_Mountain_Dog.jpg,Pixabay,Unknown,Pixabay License,
Bichon Frise,Bichon_Frise.jpg,Pixabay,Unknown,Pixabay License,
Biewer Terrier,Biewer_Terrier.jpg,Pixabay,Unknown,Pixabay License,
