business_name,phone,website,rating,reviews,address,price,user_review,serpapi_thumbnail
The Urban Hideout,+65 8879 9722,http://theurbanhideout.com/,4.5,371,"60 Springside Walk, #01-05, The Brooks I, Singapore 786020",,,https://serpapi.com/images/url/wFvZhXicDcPbboIwAADQL6rIvECX-OBlUVQ6tZmEvphZm5aKvQPT7_Mn_Jt5kvN6ihCM_4yiWgx6XGtes8YzR7UKTIUe1beIGw-oBz6azqEYKpvVf4XhDQJgkdiRJC2sSiKJL-6OzHYujZFN4uxykt8OozzmaGVTvDZYnO4wPOB52qS_g4O75uuyMxnP5WKOxLn9WlopWXcZ_mB82Cd7NqZlivobJ-k2Jo9arLZFJd3RtSpUu0kHP4B4vwKl_wHWMEWn
Wildseed Café at The Summerhouse,+65 8126 7524,https://www.wildseedcafe.sg/the-summerhouse,4.3,3546,"3 Park Ln, Level 1A, Seletar Aerospace Drive, Singapore 798387",$$$,"""Cosy place that’s pet-friendly with great food and friendly service staff.""",https://serpapi.com/images/url/kZx1GnicBcHdboIwGADQJ6ogP44u8QIwBrI6MYsTvCEDSyvQfsBXcfEFfQbfxnNeT2nMgJ-W1Ut3IQBEz2_Ipxq04dosalCWGJDUSNAKYyo9Dbq4lLvTaFYfVTLEPh4gdfJTxngLiMe9f-Z5mU_eVelsyfq0k_z2F01lGE1yDvnGLipWmr3djki_cUfxYTOq6BbSf3QuSdDxqn2o6Mf33OO9Y42orkHzpebfYohVJubxcN64fhyu74FN5NJzSEc0vAHRtEZR
Venusology Cafe,+65 9368 9050,https://instagram.com/venusology_cafe?igshid=YmMyMTA2M2Y=,4.6,219,"The Guild international College, 318A Tanglin Road, Phoenix Park, Singapore 247979",,"""A beautifully aesthetic and spacious dog café with a warm, welcoming vibe!""",https://serpapi.com/images/url/0gKZM3icBcHdEoFAGADQJ1pRdsmMC3byU1KNSN2YZlVL2cW3Wno_D-FtnPP7cqXuMDGMhlu9SsqqKV5QPJkUqhCqx-TNqO6AGCAwZtTmQ_E4lypOU4c4ZUZx4Amrvl4OabvO842X6PlG7EqGcNBEhe6gWdpHPnqDv29jyLuVDHwKiYzDrXmZRaPOxNsFSaNwT-q6PFH3eLNd88OytZ8Ms4V6uNr1opBjp1UBHltUzzs1MAWZ6nEf8UGfoBoJ-Qf0nkRH
Wildseed Café at The Alkaff Mansion,+65 8126 8484,https://www.wildseedcafe.sg/the-alkaff-mansion,4.5,2935,"10 Telok Blangah Green, Singapore 109178",,"""Very dog friendly, lovely ambience, staff are very dog loving""",https://serpapi.com/images/url/iKXfMnicBcHdbsIgGADQJ8JWSrUs2YXWWFs3pcncjzeEdgyC9kOByuYL7hn2Njvn71eHcPEPSXLW2URZq85y9NL1FoKEMOntkKiLR71HPlmUVBNwXDoybex3rWuyN5m5pvmSRoZ_VLkaTd-O-ftsWW58i-HpVvAxvHCB30BuiYBnydc7FZlgh_us-TxeBxJYNPVH6OihiWsxxzHbBbcZ0tztTXWbO1bA9khFW1l-qmLx1XXFK9xXi8c4TXOkKUYnBPYfYQdFew
Sun Ray Cafe,+65 8909 8458,https://www.sunray.sg/,4.2,1259,"79 Brighton Cres, Singapore 559218",$$,"""Cosy all day cafe that gives good food and is pet friendly.""",https://serpapi.com/images/url/wzJ1SHicBcFbcoIwFADQFV1BxQk40w8sHXnF8UGB8ONowGQaTFKTCro-N-Fues77xa3VZuk4PZ9PmFKs7_5Md6NK2k7aCVVXh2kD1IBxws-Ae1J9PbBa2KEYKTv4SUb2YX8pZlkTiTRmcXfyB8K1zKe_q6I8x20P5CiqWu_gjpr2iTf-tVxdUDjXD7SlgRmQiEY4_owEPfOcfFv3RM6NK-pduU6SsbY8wu42rVDa4o3Gi4yBB-nHEHjAgxkIkOofpiVDyg
OMD Café & Bar,+65 8783 3494,,4.7,218,"12 E Coast Rd, Singapore 428723",,"""Atmosphere was chill, cafe was clean despite dog friendly.""",https://serpapi.com/images/url/Zs0hmXicBcHbkoIgAADQLyJ1vCQ704OV2WXRrbFgemkSDcYQKHBp-r_9iP2bzvn_49Zq8-V5gocTphQT3Wi6J1XSdtJOqBo8pg2gBhgvW0AeSb1a47jcuHRu3Ua71vQZoBdFHqQkiw4U6lCd8a-OBMV0RfTlmMcjmsZYFhK-1NvA6w8i9GE5F2O4tLjIgv2NjVUjWOgaiCNR9-ienHOcJs0e8e0w7LaujloYtn3janT6rspg5lIf8MBPwB1I9QEewUUS
Plain Meredith,+65 8139 8849,https://www.plainmeredith.com/,4.8,781,"7 Holland Vlg Wy, #02-23/24, One, Singapore 275748",,"""Very nice environment and dog friendly cafe with delicious food""",https://serpapi.com/images/url/CSmWQHicBcFbjoIwFADQFVVCeVkTPwQNiIOKkEH9mTClaQNMK9xqlQ26Bncz53zeQusbLCyrF86MK8V7dgc2UiU1k3pG1Z_Fb4AoILBWERGuHE911Iz5ESd2YW8E7uiUf7cbAtCn0Tasu2F6Ct8cDUeBQ6-j682r-eB6YRGHrPR_V9e84dXz_PLyS9wYtv7Rp2nnXFzI_MlkVRLG6b7NSixS-bXGvE_EIWhIRiAeyqJIUFm16vwwS2P7DhIEow5J9Q8VTERz
The Garden Slug Family Restaurant (Pet-Friendly Seating Available),+65 8895 9059,http://thegardenslug.com/,4.3,532,"55 Lor L Telok Kurau, #01-57/59, Singapore 425500",$$,,https://serpapi.com/images/url/v8wLCnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV-GSapmbXGFm4Z1rWJzslltV4BgYbxTgmRToZZadWRSemuWYampbbmGgm2FoYKabrZuXDwCwJiFm
Menage Cafe,+65 9669 8372,https://m.facebook.com/MenageCafeSG/,4.4,466,"6 Sin Ming Rd, #01-01/02, Singapore 575585",,"""Environment was really pet friendly, my dog was allowed to roam freely.""",https://serpapi.com/images/url/sSry_3icBcHbDoIgAADQLyKvS2nrwWxTQS1Wbs3HvOAVUKiof-tD-pvO-X07pYTcGcbUORvKOZ2ah2zWijPVMLWp-GxQIUElgTSCEHYuW59Y4bz0TzORNWIXTLK7Ny00MsujTA5O7esSO64J06Mdp9zkQU20mBFtP2eyvnBUxMG7YDoRoxeh3NLDUiJFPhqyNWSHbQjjNmiFV_MU9Le7LTWaz9nSD88RXPH-Zfku6KANRsD4H6ZAQig
Meomi Cat Cafe,+65 6296 0339,https://www.facebook.com/meomicatcafe,4.6,681,"668 N Bridge Rd, Singapore 188801",$$,,https://serpapi.com/images/url/Cs2v3XicBcFbcoIwFADQFQWEYCrO-BGUqVrEB0VqfhwmxCQFudEgDm7QNXQ3PefvrbrO2KnrNgo7EkA24mHFnUPbibZzOFxdaSziFlmXzkMVtDd2p2sTMwGDGcwxZlm91OPVkNKDr-d9-tHn0QD9i1heJuq12XqPC64-S40novK3zWWldiMS0n2SnZIoAv5bnxakOH_DJNDHXfDFigz8Kr3mJvo5eDUuZE6ffEnKXstkPWKFtvtqIWdPj2CkQh_VqIV_mfFFYQ
"NAYANA Kpop Cafe & Restaurant@Flora Vista, nice Korean food@AMK Singapore, Outdoor Pet friendly, vegetarian options",+65 6581 0339,https://www.yuppylicious.com/,4.7,970,"7 Ang Mo Kio Street 66, #01-13, Singapore 567708",$$,,https://serpapi.com/images/url/WqCWZ3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5xpeaGnkXWxQaaSbl56d7FwenhOVlefuUWaSHR7oW-DtUeFTGGFbbmmkmwHE2bp5-QCJ9yFT
Seng House — Hainanese-Western Café in Tanjong Katong,+65 9182 6388,http://www.senghouse.sg/,4.4,631,"214 Tanjong Katong Rd, Singapore 437007",,"""It's a new pet friendly cafe with great atmosphere!""",https://serpapi.com/images/url/KAy2OHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUFyVZO5SnFJuHhafk1he6BhZVZofnOzkEuhjFBpulOgeFB-aW2RbbmhkoJthaaSbrZuXDwDGcCHs
The Barking Bean,,,4.5,175,"2 First St, #01-02, Siglap V, Singapore 458278",,"""A lovely dog-friendly cafe that serves contemporary brunch food.""",https://serpapi.com/images/url/H-3Ai3icBcFbcoIwFADQFV0xECs64wexqc5YNfgYiD8diYRgIQETUBboIrqbnvP3Vs41du55lQpGhTFFlXc2fwijXa7dSJjaKxoLwoL1ouVMYd0E9CT7FWJkOTwkpdovHW8nmNmYJHG_Rs4_J7fBbKme4imr8dfhHFKewXePZgHCm5TIq10BiwhpYU99nkQ_l0MGJ1mmKo-Eoll6WbevurxvwE93n0cuJLuGVXxvOa9Y16l-WDzDMSg0_oBf0OYfImhDUQ
The Dempsey Project,+65 6475 2005,https://thedempseyproject.com/,4.5,2864,"Block 9 Dempsey Rd, #01-12, Singapore 247697",,"""A pet friendly place with good food and amazing staff that loves dogs!""",https://serpapi.com/images/url/_1pMNnicBcHbkoIgAADQLyJ1sohmeuii3daKjWYnXholF2ZUEMHAfnC_ob_Zcz5_wtrWzIOgFuMRV4rXZW_KjilpS2lHTDUBbw1gBphguUYilho-2TC5D0jBX0iJ9EuUnaMdR0n8yrMNez9-9lnS-X79_k5F3Ex1JSr8RaPd6Xp9uTTFGtwH0efZ018gko8EH26uXTXVcTNsISIUN5fjakIirUJdu8LkmNeWdo7dCk9ogf2MbE9u4WYhEFE4BRWQ6h-IvEZi
Four Paws Pet Shop & Cafe,+65 8182 2364,https://fourpawssg.com/,4.7,456,"144 Upper Bukit Timah Rd, #04-12, Beauty World Centre, Singapore 588177",,"""Very nice and clean pet friendly cafe.""",https://serpapi.com/images/url/4161PHicBcHdboIwGADQJyogP1VMdqHExjE6NEgt3BiBppUhVT-wjufzJfY2O-fvrYbhBkvb7pRnSa1lJ0YQj1r3g-gHq9ZXW94A1YDAXkWh8nsd-vSbxGTjgIthIeg5QC1L0rjx5lk5Fr-iuEzTxWG7F__sEk9IathulmyrQ2WadZ2QFIeKB64K8N5tWRmfcs6f5R3c_JzyYxRlVJH75AtozFcemn0OTGZTW8zlSPD1sabZ6sMsHKRmDkY_qNf_CoRDbw
